Term DocID TF Positions
assist 4 22 336,1101,9331,9696,13004,15975,16559,18797,27029,27387,27407,27429,28217,28572,30181,38503,42069,42583,43844,44442,47543,49618
associ 3 2 933,1288
associ 4 40 91,2538,3028,3470,3778,7519,7961,7982,10198,11803,12373,13526,13750,14772,17342,17780,19180,20405,21703,23089,23135,23799,24667,24796,25290,25356,27035,29489,31797,35259,35284,35752,36327,36383,36436,36502,37025,45401,47077,49545
assum 4 1 46252
assun 4 1 2125
assur 4 3 49752,49762,49792
asthma 4 37 1064,6158,6171,6270,7930,7966,7993,8007,9398,10338,10385,10442,10492,12660,12703,12706,12757,12782,12807,12813,12833,25181,25248,25295,25361,25476,32008,47346,47378,47379,47394,47419,47437,47461,47471,47486,47605
astut 4 1 47847
asylum 4 1 7173
asynchron 4 1 31005
atherosclerot 1 1 518
atlanta 4 5 10937,11020,11114,33927,40612
atlas 4 1 44559
atorvastatin 1 2 583,709
attack 4 6 5430,6161,18278,18296,46381,46473
attain 4 5 17929,21283,29099,39492,48046
attempt 4 4 11911,20449,41203,49019
attend 4 24 1223,2226,3434,3481,3518,3548,5471,10619,19864,19925,24072,26917,32024,32687,33613,41727,43089,43142,43190,43241,43254,43388,43588,47758
attende 4 1 10726
attent 4 11 11173,11951,13977,14880,15498,18977,26705,28667,32313,35682,44694
attentu 4 1 13637
attenu 4 1 36642
attest 4 1 1268
attitud 4 21 2871,3391,3426,3473,3512,3529,3540,26101,27073,37462,37603,38364,43988,44752,44868,46482,47942,48048,48055,48067,48096
attract 4 1 40525
attribut 4 10 7650,7666,7822,7843,13428,15673,38749,47478,47537,47562
audil 4 1 35934
audio 4 1 9253
augment 4 1 45812
august 4 1 48689
augustyn 4 1 28747
austad 4 1 31222
australia 3 1 2148
author 1 3 1169,1178,1312
author 4 4 24941,30718,42321,47697
autom 4 4 29213,30134,30221,30276
automat 4 1 8967
automobil 4 1 44364
autonom 3 1 811
autonomi 4 2 19526,43295
avail 3 1 844
avail 4 19 11481,17294,17409,17696,17708,17735,19700,20100,29849,37287,39540,44154,44260,44512,45041,45201,45269,45372,46971
avenu 4 1 16959
averag 4 9 1763,3882,3921,4081,5131,19745,21725,22040,24773
avian 4 1 32393
avila 4 1 32627
avoid 4 2 20046,37863
awar 4 15 1617,5398,5424,7182,11444,29996,32294,34833,37240,37990,39542,44950,44980,45013,46441
award 4 1 31794
axi 1 1 875
axi 4 2 21033,21119
axial 4 1 37661
azad 4 1 1609
azim 4 1 6583
aziz 4 1 48306
azodo 4 1 30534
ba 4 4 21560,30981,31220,32359
babatund 4 1 22943
babi 4 3 19952,19997,31653
bachar 4 1 2728
bacillus 4 1 21682
background 1 2 11,245
background 4 33 280,568,3179,5820,6599,10570,11751,13409,13720,17594,18491,19542,19796,21575,22951,23737,25958,27425,28458,29686,30540,32098,33220,35263,38741,39028,39591,40817,41575,43496,44232,47927,48660
bailey 4 2 8664,34929
baker 4 1 29676
bakri 3 1 2493
balasubramaniam 4 1 12445
baldini 4 1 13401
ball 4 1 15489
balloon 1 10 30,152,221,256,532,756,814,894,961,1131
balochi 4 1 6019
baltimor 4 33 130,2002,3018,4141,4286,8791,9755,13460,15959,17373,19252,20421,20472,20914,32133,32765,33495,33517,33537,33621,34940,35023,38482,38487,38494,38499,38543,38718,38786,43453,43956,44036,44128
band 4 1 25768
bandeira 4 1 26486
bangalor 4 2 34041,34064
bangladesh 4 13 6576,6598,6619,6622,6732,15071,15081,15097,15107,15151,15189,15194,15309
bank 4 1 36592
baquet 4 2 15884,34232
bar 4 2 47280,48701
barbitur 4 1 22793
barnet 4 1 28758
barnett 3 1 2607
barri 3 1 2789
