Term DocID TF Positions
length 4 2 7079,35659
leni 4 1 29374
lenita 4 1 34718
lenz 3 1 2786
lep 4 4 37047,37119,37191,37217
leprosi 4 1 38296
lesli 4 2 877,29630
lesson 4 11 9337,9388,21161,21480,26085,29264,33687,34602,34893,37178,45981
letter 4 1 22033
lettuc 4 1 45301
leuschner 4 1 48651
level 1 4 45,284,601,1055
level 4 114 136,155,178,477,608,651,1257,2277,2857,3076,4203,5422,5784,5867,5887,5935,5940,5961,5994,6011,6029,6073,6301,6448,6703,6808,7317,8233,8250,10260,10318,10402,10501,10911,11559,11566,11586,11698,11741,11754,11816,12158,12308,12362,12735,12746,12799,12847,12931,13640,13684,14097,15275,15384,15417,16020,16059,16075,16127,16136,16153,16288,17285,17345,17434,17439,17459,19443,19740,20469,20512,20572,20911,20995,21934,21974,22015,22083,23236,23347,24982,25032,25063,25138,25742,27219,27264,27289,27323,28266,28531,28566,28705,29215,29315,29943,31196,32174,36258,36302,36350,36609,36652,41865,41906,42518,42554,44439,45141,45497,46027,47531,47588,49299
leverag 4 1 9246
lfgw 4 1 38060
lgsil 4 1 37504
li 4 2 16743,18197
lian 4 1 10875
liber 4 1 1623
librari 4 1 30471
licens 4 1 7651
lidia 4 1 4836
lie 4 1 33842
life 3 3 38,333,361
life 4 26 1457,4982,5536,8700,11744,15220,16779,18711,19147,19176,19215,19232,19274,19297,19311,19330,19342,19357,20251,20753,20794,24160,26373,36932,48130,49343
lifeskil 4 2 2699,2760
lifestyl 4 3 5388,33750,34741
lifetim 4 1 40258
light 4 1 32288
likelihood 4 1 40703
likert 4 2 26684,43215
lime 4 1 45296
limit 3 1 230
limit 4 27 7140,9527,10168,11748,12630,15496,22205,25038,25849,25870,30506,31392,33694,36921,37019,37044,37294,37806,37843,41116,44258,44334,44670,44892,45371,46412,47447
linda 4 2 15352,28761
lindenburg 4 1 5162
line 3 1 2107
line 4 8 57,88,109,6343,6472,25010,27951,37800
lineag 4 1 19381
linear 4 6 7864,17441,18061,19314,21062,48073
linguist 4 6 7113,37174,44457,44653,44659,44705
link 4 28 3712,9579,9611,11383,11562,11674,12856,13965,15898,15993,17144,17247,17436,18066,18983,19575,20852,25130,29588,30586,33076,35215,35954,36531,38254,44728,47147,49750
linkag 4 11 586,662,766,13298,20093,25182,25213,25470,42731,42924,42994
lip 4 5 24503,24509,24546,24658,24671
liquefi 4 1 25265
liquor 4 1 17703
lisi 1 1 1324
list 4 6 8296,8741,32968,33255,33294,40056
liter 4 1 20399
literaci 4 19 20106,20181,20213,20267,20279,20281,20283,20286,20316,20327,20354,20363,20387,29283,30445,30967,30994,31195,32001
literatur 4 10 1463,1506,12631,13983,23038,29498,35835,44682,47034,47292
livabl 4 1 24320
live 4 52 572,1262,1893,2581,3385,3515,3872,3990,5838,8174,10109,11434,12295,12344,12421,12466,13241,13457,14316,15264,15296,17031,17912,18852,18877,18906,18997,19246,19363,19512,20590,20624,21852,22725,22964,22972,23853,24542,25019,25803,27765,27776,31514,33374,33660,35552,36934,41841,43121,43952,45092,45137
liveborn 4 1 36565
load 4 1 40248
local 4 43 1997,4199,4758,6508,7915,8366,11095,11131,11293,11308,12478,13887,15439,16808,19694,21352,21367,21386,21488,25131,28262,29492,29605,31263,31339,33344,33458,33603,34077,34100,34132,34788,34802,35070,38357,42320,44998,46295,47284,47553,49298,49491,49769
locat 4 25 5278,8469,8639,8661,8801,8839,8883,8934,9268,28416,31894,33400,33425,46900,46931,47027,47064,47080,47122,47175,47196,47253,47275,47311,47323
locus 4 1 14431
log 4 2 5956,14749
logic 4 1 14946
logist 4 21 1281,3022,3463,8084,10698,10798,13595,15853,16008,16032,18613,21716,24606,31085,33113,34606,36373,36612,38816,39679,48784
lognorm 4 1 20563
logu 4 1 30977
long 1 1 874
long 2 3 31,145,383
long 3 1 1353
long 4 10 13303,24034,24081,26213,28773,40697,43871,44353,46748,46820
longer 3 1 359
longer 4 5 8580,8623,14465,20587,41729
longev 4 2 3852,10569
longitudin 4 6 122,3015,11592,39314,39382,39414
look 4 3 29804,29958,32683
loos 4 1 32827
loosi 4 2 32810,44170
lora 4 1 11140
lorent 4 1 41323
lori 4 2 25943,30982
lorna 4 1 23987
los 4 2 29661,30789
lose 4 1 48866
loss 4 3 36037,37865,37871
lost 4 1 30492
lot 4 2 10397,21318
low 1 1 587
low 3 1 2674
low 4 65 2390,3641,3856,5185,5283,7622,9756,12019,12022,12505,12509,14285,16114,16256,17046,17552,17853,17951,17966,17986,18005,18033,18071,20008,20179,20211,20397,22777,22811,22863,23389,28506,28740,28786,29282,29954,30618,30666,31395,32072,32137,32149,34296,36099,36464,36638,36669,36697,37989,38608,40007,40175,40245,41433,41754,43536,43651,44205,44253,45282,45288,45321,45348,46888,48677
lower 3 4 1537,1685,1857,2433
lower 4 27 3007,10476,11730,11732,11769,11783,15051,15891,16092,16099,16337,17518,22569,23768,23936,26798,26897,27011,27331,28791,28835,30386,30398,37061,39179,39267,39734
lowest 4 10 15704,16357,16386,16391,16419,16466,20595,20629,31193,39132
loyd 4 1 21170
loyola 4 1 14590
lozada 4 3 21552,39576,44770
lpg 4 3 25268,25271,25518
lsw 4 1 40380
ltc 4 1 27899
lu 4 1 45540
luben 4 1 24490
luber 4 1 7753
luci 4 1 22641
luisa 4 1 37911
luiz 4 2 26189,26491
lumber 4 1 24355
lunch 4 1 31858
lung 4 1 22183
lunghetti 1 1 1335
lv 1 12 22,122,144,219,254,266,300,311,476,524,959,1129
lydia 4 1 4839
lynam 4 1 42750
ma 4 14 879,884,890,4138,4835,21550,27649,28092,29136,29632,34488,40378,41318,48969
machin 4 1 44883
macro 4 6 10317,10500,20468,24981,25062,25137
made 4 5 93,1739,20145,33729,46171
madis 4 2 14843,32880
madison 4 1 31832
maffei 1 1 1329
magda 4 1 29664
maggi 1 1 1333
magnet 4 4 29186,34497,34557,34604
magnitud 4 3 12383,18149,47680
magnus 4 2 23690,40794
magzamen 4 1 7940
maharjan 4 1 4359
mail 4 2 31176,38421
mailman 4 1 32370
main 4 6 8212,16858,18561,18609,34168,49485
maintain 4 4 673,8884,13171,38586
mainten 4 6 4191,5188,7441,27599,28015,35059
major 1 3 75,385,972
major 3 2 1271,2295
major 4 36 1795,3490,5833,8944,9074,9080,15378,15806,18471,19597,20111,21192,26202,27120,27730,28477,30484,30691,36337,36386,37759,37999,40639,42231,42325,42427,44149,44264,44382,46479,47657,47689,47717,48191,49005,49814
make 3 2 2344,2591
make 4 26 366,1654,2564,7434,8336,17897,18666,19507,29817,29902,30000,33735,33870,34541,34950,35177,40598,40605,40670,42064,42680,43693,43796,44203,44246,44390
maker 4 5 1600,3835,9179,19730,35761
malaria 4 3 24817,24894,38259
malaysia 4 6 42189,42213,42225,42261,42466,48161
malaysian 4 1 48238
male 4 26 10429,12074,13802,18292,18375,18930,18996,20732,21735,22925,22990,23110,23151,23560,23572,23593,23599,32984,36053,38856,39695,41665,47756,47789,48387,48401
malnutrit 4 6 2474,2617,2658,6610,34188,36060
malo 4 1 24968
mammogram 4 1 10816
mammographi 4 2 32196,32270
man 4 2 20144,46170
manag 3 2 945,2778
manag 4 39 1063,5141,5386,5623,6090,6127,7275,7311,7585,7932,7995,8018,8119,9005,13295,13306,16602,19198,21384,21440,22287,27706,28300,28316,29303,29511,30247,30819,30938,34025,35795,40681,41281,42452,43028,46058,46063,47375,49361
maneuv 4 1 20158
manifest 1 1 519
manifest 4 1 36985
manner 4 5 9588,28716,29210,33679,35908
mantsio 4 3 21555,39583,44768
manuscript 1 7 1202,1211,1250,1267,1284,1310,1318
manya 4 2 23689,40793
maoist 4 1 3201
map 4 29 760,8197,8299,11968,12034,12056,12495,12582,12596,12723,16306,16479,17066,17098,17275,19759,27634,27668,27746,27757,27843,33308,33416,33943,35102,35189,44313,46949,47236
mara 4 2 42187,42208
marcelo 4 1 36485
march 4 1 40205
marcia 4 1 2716
margaret 4 1 33793
margaurit 4 1 16211
margin 4 7 5252,13236,15340,15456,15511,15576,41054
marguarit 4 1 8163
mari 4 6 9447,16725,37326,37421,37457,37493
maria 4 6 5159,16720,25556,26182,29373,48319
marian 4 1 17317
mariann 4 1 10547
marianna 1 1 1332
marijuana 4 3 22846,39629,39774
marilyn 4 1 42486
marina 4 2 25940,26485
mario 4 1 10872
marit 4 3 16077,16129,18081
maritt 4 1 41960
marjolein 4 1 5157
mark 3 2 1018,1653
mark 4 7 2719,7220,7233,7254,23983,37893,42548
marker 4 2 20876,25500
market 4 8 1622,15588,15636,15660,18436,47631,47712,47718
markham 3 1 460
marri 4 4 6056,13571,29777,48504
marsh 4 1 3599
marsha 4 1 37022
marshal 4 4 15348,18193,33790,47089
martin 4 1 30537
marvi 4 2 39018,40128
marwan 4 1 48474
marwick 3 1 641
maryann 4 1 12669
marycatherin 4 1 28746
maryland 4 27 131,3019,8675,9700,10057,13405,13461,15887,15957,17375,19162,27050,28811,33509,33567,33630,34212,34226,34234,34248,34254,34262,34318,34403,38719,38743,38787
masbirt 4 2 30166,41184
mash 4 1 7694
maskalyk 4 1 7490
maslow 4 1 17150
mass 4 6 17357,35382,41670,46345,46448,49456
massachusett 4 4 11270,30066,30167,41185
massag 4 1 4551
massconect 4 1 11269
massiv 4 1 42510
master 4 2 24104,46595
match 4 2 24096,24122
materi 4 16 1984,2099,9353,12349,12375,24347,27373,31404,36504,36582,36619,41827,41876,41911,41919,46648
matern 4 29 548,832,2462,2504,2609,2624,2660,5869,5942,14493,14814,14827,14896,14929,18077,19833,24563,24614,24638,29036,31465,31559,36646,37330,43113,43168,43201,49045,49214
materson 3 1 2791
matheson 4 2 12188,41797
mathew 4 1 10560
mati 4 1 7244
matilda 4 1 48472
matilu 4 1 32877
matrilini 4 1 19472
matrix 3 1 703
matt 4 1 45544
matteo 1 1 1323
matter 4 1 5767
matur 4 1 6989
maulana 4 1 1608
mawani 4 1 36169
mawbi 4 3 8156,16220,17006
maxim 3 1 2725
maxim 4 4 13348,21461,34688,44373
maximum 4 2 25898,48063
mba 4 1 17588
mc 4 6 22992,23020,23046,23066,23167,23177
mcate 4 1 20925
mcclean 4 1 24273
mcdaniel 4 1 13949
mcdermott 4 2 28018,28073
mcdonald 4 1 19563
mcgee 3 1 794
mcguckin 4 1 38478
mcmaster 4 3 27896,27901,39334
mcp 4 2 2718,41319
md 4 32 272,3618,4599,4838,6910,9688,9694,12200,21174,21534,21542,21546,21553,21563,22942,22946,27027,27033,27044,29666,29670,29673,29677,30975,30987,35252,37901,38175,43428,43439,43454,46363
mean 4 11 8222,8862,16679,23023,27020,31280,31445,35095,39530,44065,45370
meaning 4 3 13436,13662,15437
measl 4 1 38300
measur 2 1 91
measur 4 66 2848,2855,3074,5103,6711,11667,12739,12966,13514,13666,13996,14002,14033,14202,14502,14614,14693,14731,14738,14766,15658,15677,15754,15849,16050,16066,16117,16860,17064,17403,17658,17677,19284,19588,19664,21031,21049,21103,21116,22930,24935,25836,26092,26113,26507,26679,27217,27475,29714,35219,36159,36280,36290,36348,36442,36452,38377,38523,39487,39504,39550,40538,40674,42661,44315,45919
meat 4 1 17391
mechan 1 1 923
mechan 3 1 876
mechan 4 11 9592,11899,12141,14514,18836,20960,21458,24682,28596,33327,47213
med 4 2 34384,38178
medecin 4 1 34265
medha 4 1 37324
media 4 7 6391,11132,11201,11309,44960,49457,49461
median 4 8 6757,20545,20580,38844,39697,45129,48563,48591
mediat 1 2 943,1062
mediat 4 8 10817,13681,14136,14302,14391,19538,37884,38094
medic 2 2 233,238
medic 3 5 193,216,1864,2696,2780
medic 4 56 1610,3612,3748,3756,5217,5297,7475,7518,9008,9075,9458,14376,18800,21700,21995,26224,27584,27603,30054,30075,30235,31744,31799,31996,33568,33598,33624,33640,34291,37040,37054,37093,38370,41071,41147,41214,42179,42239,42258,42364,42423,42461,42756,44451,44516,44625,44631,44691,44747,46666,47168,48962,49049,49178,49202,49815
medicaid 4 11 10433,46844,46881,46902,46925,46936,46968,47029,47053,47060,47071
medicar 2 1 53
medicar 4 1 10953
medicin 2 3 6,445,451
medicin 4 34 897,904,1835,7467,7505,7592,7684,7705,10883,15364,15610,15631,15890,20126,21574,27657,28131,29644,29683,30060,30073,30358,31777,31789,33512,34229,34237,39590,41090,42205,43452,44508,45074,49848
medicina 4 1 2144
medium 4 2 1900,35581
medlin 4 1 36800
meet 4 11 4336,4988,5065,5402,9658,28400,28549,31579,31582,38398,43595
mehta 4 2 20438,38733
melba 4 1 37913
melissa 4 4 16195,37028,46115,46354
mellitus 3 3 487,809,2509
mellitus 4 1 16755
melros 4 1 6912
member 4 27 2273,2360,2369,5043,5467,6870,9127,11469,11515,11532,16313,16488,16499,16526,16585,16658,17105,19931,31028,31672,33685,34839,36055,39651,41651,42936,43038
membership 4 4 26903,26922,26945,32958
membran 3 2 400,711
memori 4 2 20915,43851
men 3 4 535,612,1305,1799
men 4 25 9849,12024,12254,18376,18463,18525,18535,18594,18617,18634,18665,18686,20681,20773,21003,23055,23084,23093,23119,23162,29189,33149,34560,35948,41928
menakaya 4 1 47642
mendola 4 1 24492
menopaus 1 2 980,1046
menopaus 4 17 47909,47928,47965,47979,48018,48047,48098,48114,48139,48467,48487,48566,48575,48589,48595,48613,48625
mental 4 71 466,1056,4863,5016,5727,7146,8179,9081,10745,11842,11854,11887,11905,11925,11947,12046,12110,12123,12146,12419,12470,12491,12541,12570,12603,12638,13044,13160,13245,14078,14156,14173,23996,24019,24038,28118,28135,28194,36316,38705,39010,39025,39033,39307,39347,39359,39429,39447,39462,39467,39501,40121,40143,40180,40226,40271,40310,40349,40370,40386,40394,40404,40458,40467,40495,40507,40532,42560,45550,48235,49497
menthol 4 1 44068
mention 4 2 30694,36942
mentor 4 4 9342,43488,43517,43659
mentz 4 1 17583
meri 4 1 2129
merit 3 11 127,1114,1121,1137,1141,1204,2073,2158,2319,2394,2746
messag 4 6 20082,20293,27500,27525,45815,48932
messer 4 1 24488
met 4 5 30638,39706,40336,43041,49062
meta 3 3 2055,2136,2191
meta 4 1 23032
metabol 2 1 422
metabol 3 3 814,2484,2582
metacrawl 4 1 30582
meteorolog 4 3 24833,24839,45641
meter 4 5 16347,16355,16434,25879,25890
methadon 4 13 5187,9684,9709,9745,9751,10021,10030,39966,39974,40009,40044,40052,41613
methamphetamin 4 1 39795
method 3 1 655
method 4 87 377,498,595,1670,2289,3237,3723,3922,4411,4921,5311,5897,6098,6670,8305,9747,10339,10631,11409,11992,12493,12713,12932,13443,13759,15683,17406,17646,18237,18526,18540,18990,21626,22046,22328,23030,23272,23490,23772,23823,23978,24227,24457,24818,26049,26129,27124,27463,27490,27994,28384,28556,29450,29734,30562,32128,32423,32891,32920,33280,33891,33939,35315,36259,36782,37664,38788,39060,39413,39661,40170,40841,41603,42304,43771,44076,44266,44518,46240,46413,46571,46668,46932,47158,47990,48122,48732
methodolog 4 18 8328,8393,12583,15836,19709,19840,22007,25231,25512,25735,28069,31541,32466,33282,37626,42828,45986,48265
metoprolol 3 35 5,119,170,324,343,367,382,413,425,477,995,1099,1106,1193,1369,1415,1440,1548,1601,1692,1740,1766,1792,1881,1913,1936,2309,2375,2441,2452,2458,2481,2684,2734,2757
metr 4 2 16416,16452
metric 4 3 21028,21094,21113
metropoli 4 2 47635,47721
metropolitan 4 9 4142,14663,17900,24997,25077,25139,25174,27122,36553
metzger 4 2 8427,45538
mexican 4 3 21585,21738,44809
mexico 4 8 21526,21649,21840,39571,39599,42603,44764,44992
mg 3 16 405,411,424,1374,1383,1411,1785,1791,1877,1883,2313,2317,2403,2407,2681,2741
mh 4 13 28140,28197,28246,28292,39035,39112,39159,39176,39220,39228,39250,39262,39289
mhs 4 5 10286,32355,32630,46113,46352
mi 2 3 18,37,437
miah 4 1 6579
mice 4 3 26985,27009,38577
michael 4 14 1862,5381,5459,5550,6349,15601,16750,24271,30535,35492,41816,43101,43695,47109
michell 4 2 2118,15076
michigan 4 1 24972
micro 4 1 6648
microcircul 1 1 935
microcirculatori 1 1 1057
microscopi 4 1 21930
microvascular 3 1 823
mid 1 7 128,163,185,303,482,543,669
mid 4 2 598,43530
middl 4 7 1226,1802,1824,16389,25238,43538,43653
midlif 4 3 14548,14651,14798
midst 4 1 7541
midtown 4 2 33614,33725
migrant 4 4 3197,6929,36023,41633
migrat 4 2 26841,38438
migratori 4 1 35976
mike 4 3 8663,16201,34928
mile 4 5 8057,14684,17691,46978,47012
milk 4 4 45279,45320,45341,45346
millennium 4 1 15305
million 3 2 21,504
million 4 15 2156,2191,5587,5828,16819,17871,20196,22962,22971,25634,28486,30327,30361,45424,46877
milloy 4 1 13703
millstein 4 1 17310
milo 4 1 30983
milton 4 1 41561
min 4 2 9769,10874
mina 4 9 2139,25567,25574,26160,26169,26195,26275,26497,26578
minal 4 1 6908
mind 4 1 31924
mindset 4 2 28404,46080
mini 4 1 34383
minim 4 3 38582,42161,44376
ministri 4 1 35344
minnesota 4 1 26809
mino 4 1 41562
minor 1 3 40,279,517
minor 4 13 1189,6901,6916,7037,7051,7094,7106,7138,15804,29653,34286,49552,49686
minski 4 1 30310
minut 4 1 44550
minya 4 1 21548
mirai 4 1 35720
misclassif 4 1 25529
misconcept 4 4 3505,3527,47957,48112
misdiagnos 4 1 37090
mishra 4 1 34223
mislead 4 1 14985
mismanag 4 1 46715
miss 4 4 5248,11761,11789,33428
mission 4 1 45392
mississippi 4 1 35358
mitchel 4 1 39911
mitig 4 2 20228,45918
mix 4 4 17442,25273,25523,39412
ml 1 2 606,1180
mln 4 1 29635
mm 1 5 427,438,723,734,1221
mm 3 1 2331
mm 4 3 41614,41734,41764
mmhg 1 1 415
mmt 4 2 5190,5285
mn 4 1 39324
moayad 4 1 23215
mobil 4 11 643,8658,8836,8938,11182,17221,21505,25610,25627,25653,25781
mode 4 2 3498,9333
model 2 1 102
model 4 84 2825,3465,5045,5180,5362,6319,7580,7594,8029,8066,8113,8948,9200,9284,9320,9364,9407,9432,9609,9624,10508,10511,10572,10700,12685,12785,12986,13597,13655,14381,14947,16010,16034,16676,17445,18062,18705,18722,18795,18832,18896,19073,19316,19552,19736,20263,20270,20565,21128,21154,24218,24608,24628,26064,26978,28587,31039,31087,31186,31390,33051,33115,34055,34196,34214,34345,34783,36625,36665,37881,38105,39122,39171,39235,40238,40494,41892,42413,43229,45477,45624,49397,49413,49493
moder 4 7 4168,14671,16879,18598,30623,30660,30751
modern 4 1 49313
modest 4 2 17810,18022
modifi 3 1 296
modifi 4 4 5061,17663,24574,24580
modul 4 9 12962,26079,28304,34166,46438,46457,46510,46518,46529
moe 4 1 16203
moh 4 1 27898
mohajir 4 1 6034
moham 4 1 6584
mohattig 4 1 43710
moineddin 4 2 12191,41799
mokhtar 4 1 42200
molecul 3 1 293
molecular 1 1 588
molina 3 1 1063
moment 4 1 2245
momentari 4 5 27400,27439,27460,27590,27608
mondillo 1 1 1347
money 4 1 39825
monica 4 1 3884
monika 4 1 32357
monitor 1 1 575
monitor 4 16 17,73,139,173,208,4030,4299,4318,14755,19418,21443,22604,34205,43908,46701,46753
monoparent 4 1 2380
monotherapi 4 2 39094,40198
monro 4 1 43714
montan 4 2 13711,18199
montero 4 1 37912
month 3 2 1282,2341
month 4 34 819,1684,1741,1748,1766,3261,4987,6358,6756,6776,13814,19851,21794,22834,23882,26387,26434,27210,27311,27396,31577,31733,32832,36332,36392,38815,38923,38967,39516,40062,40925,40960,43607,48772
mood 4 2 18911,48344
moral 4 1 41449
morbid 3 3 150,1762,2771
morbid 4 7 7967,20837,24820,32652,33549,47381,47396
morbimort 4 1 26205
moreira 4 1 26184
moreno 4 1 45852
morgan 4 1 44765
morpholog 1 3 149,529,803
mortal 2 7 14,72,147,212,278,351,385
mortal 3 20 152,1209,1217,1229,1437,1458,1481,1524,1651,1726,1760,1892,1901,1920,1932,2016,2211,2413,2431,2773
mortal 4 31 9069,15095,15119,15129,15224,15255,15283,19175,20839,21221,21333,22525,22579,23974,24089,24149,24234,24822,26235,32654,35268,39362,43114,48961,48979,49033,49078,49083,49129,49265,49555
mose 4 1 42771
mothabbir 4 1 6578
mother 4 21 2280,2386,3569,3740,5769,5879,5907,5924,6020,19845,19861,19876,19988,19993,20071,31516,31578,31655,31720,36601,43209
motherhood 4 1 18858
motion 1 5 25,189,269,673,888
motiv 4 3 3351,5232,5324
motor 4 2 4179,47217
mount 4 3 17024,20122,27653
mountain 4 1 39343
move 4 1 6476
movement 4 3 7712,13284,24291
mph 4 42 273,1127,1372,3585,4116,5548,7219,7246,9444,9689,10283,10551,10556,10559,12201,13396,14554,15078,17587,21547,27045,27646,29132,29638,29674,32610,33789,34492,37560,37905,38143,38165,38468,38481,41303,43711,43717,43720,43961,43972,46117,49542
mphm 4 1 21175
mpp 4 1 48970
mpw 4 1 22157
ms 4 8 4594,5375,10053,10562,21556,25933,35716,35719
msc 4 2 36170,39329
msha 4 1 35253
msn 4 3 3602,30577,38480
msw 4 8 887,1371,9445,9454,37915,40379,46858,46861
muckl 4 1 27876
mudeg 4 1 20695
muhajarin 4 2 8158,16206
multi 4 12 6202,7343,12157,13120,13137,13174,23602,34586,35588,36973,36980,38547
multicent 3 1 1749
multidimension 4 1 19643
multidisciplinari 4 3 31025,45969,49448
multifacet 3 1 682
multifactori 4 1 4397
multilevel 4 12 2637,10510,12340,12664,12710,12985,14380,15335,15874,16007,24605,41890
multimod 4 2 30008,30116
multinomi 4 1 43227
multipl 4 15 3728,6194,7427,8295,13444,17170,17602,21061,24619,24675,26091,26925,33112,39678,44370
multistag 4 1 48003
multivari 4 11 2638,11774,11826,13846,18301,18612,21715,23822,33049,43226,48783
mump 4 1 30567
municip 4 10 670,792,3239,8363,9124,21952,21967,24940,34042,34078
munodawafa 4 2 33994,35715
murray 4 1 7484
murthi 4 1 34003
musiol 4 3 8154,16216,16995
mutil 4 1 47774
mutual 4 1 34357
mwau 4 1 32878
myocardi 1 3 457,939,944
myocardi 2 1 16
myocardi 3 5 69,701,1043,1050,1514
myocardium 3 1 694
mysql 4 1 8964
nadia 4 1 46859
naga 4 4 29370,29388,29464,29548
naha 4 1 44464
nairobi 4 14 14835,14907,20691,20709,32861,32866,32947,32951,33163,42742,42760,42921,43096,43163
name 1 1 341
name 4 1 16567
nanci 4 1 49539
nanda 4 1 28745
nandakumar 4 1 24715
nandi 4 2 20423,45062
narimah 4 1 48163
narrat 4 1 2894
narrow 1 1 347
narrow 4 1 35464
narrowcast 4 1 49460
naseem 4 1 35943
natal 4 1 821
natali 4 1 2130
nation 2 1 48
nation 3 1 497
nation 4 63 3170,3174,3448,3611,3951,4202,4360,10188,11370,12289,15239,15274,17189,17887,17955,19414,21247,21344,21944,22074,23784,24109,24167,25854,28167,28265,28563,28672,28684,28704,28717,28793,28839,32154,32177,32193,32206,32220,32243,34268,37103,37249,37256,37387,40381,40489,40863,41331,41570,41837,43408,43433,43474,45397,45400,45407,45491,45882,47368,49563,49605,49757,49776
nationwid 4 3 14877,26057,37928
nativ 4 6 18119,19909,36749,36880,36883,38201
natur 4 15 8339,17207,18274,19626,19635,19684,20142,24372,37867,38242,42060,46168,48486,48594,49504
nave 4 1 5787
navig 4 6 5526,30513,49528,49614,49644,49781
nazeem 4 1 16205
nazrul 4 1 6590
nci 4 3 10925,11264,49603
nearbi 4 2 20095,25617
nearest 4 3 8521,17687,22232
necessarili 4 1 16946
necessit 3 1 1610
neck 1 1 348
need 3 2 2224,2617
need 4 15 10586,13442,16661,16776,17785,21323,21907,25510,25665,32319,40652,41058,41472,44433,46808
needi 4 1 31843
neediest 4 2 33237,33437
needl 4 4 5192,8551,20620,44877
negat 4 13 3511,19171,20526,22091,22723,22854,27070,31305,36295,39245,40987,41359,48343
neglect 4 1 42242
negoti 4 5 706,789,11516,44420,48912
neighborhod 4 1 2936
neighborhood 4 184 95,180,190,225,244,1420,2978,2989,3034,3060,3078,3118,7924,8034,8048,8100,8106,9312,10259,10268,10302,10540,10606,10616,10666,10708,10801,10828,10848,11585,11697,11753,11815,11851,11903,11940,12039,12121,12144,12930,13051,13095,13385,13415,13427,13445,13462,13486,13525,13536,13559,13634,13664,13929,13944,13957,13968,13998,14015,14053,14063,14082,14115,14126,14134,14140,14143,14150,14161,14163,14185,14201,14211,14222,14235,14261,14295,14338,14386,14401,14424,14446,14454,14485,14504,14509,14517,14533,14537,14601,14616,14634,14640,14727,14777,14790,14794,15375,15383,15416,15424,15433,15519,15538,15580,17295,17344,17454,17519,17556,17689,17705,17716,17743,17759,17768,18550,19739,20407,20511,20539,20544,20592,20626,20907,20963,20975,20990,21013,21037,21051,21086,21105,21132,23688,23801,23901,23963,25243,25282,25348,25399,25797,31251,31253,31365,31429,31825,31835,31900,32022,32056,33915,33928,36477,36581,36634,36690,38391,40860,41790,41826,41875,41901,41918,44286,44348,45054,45103,45113,45178,45197,45239,45246,45254,45257,45380,47342,47474,47529,47530,47584,47600,48996
neighbour 4 1 19932
neighbourhood 4 62 8131,8203,8225,8285,8298,8306,8343,12166,12175,12234,12275,12327,12346,12404,12416,12489,12503,12521,12533,12554,12590,12598,12617,12636,16182,16232,16284,16290,16292,16318,16339,16353,16359,16373,16382,16393,16404,16421,16428,16468,16478,16484,16708,16815,16935,16974,17054,17070,17084,17115,17126,17131,17202,17238,17248,17280,17283,31459,31519,31539,31553,31620
neonat 4 5 15118,15254,15282,19835,49077
nep 4 8 5195,5286,22099,22109,22142,44880,44922,44995
nepal 4 8 3165,3173,3177,4356,11373,23447,23450,23489
nest 4 1 24191
nesto 3 1 857
net 4 3 7215,7331,30162
netsayi 4 1 20693
netti 4 1 43704
network 4 28 6512,6959,7872,8390,8487,8502,11267,11272,11412,11809,17683,20800,20804,25661,27889,30946,34843,34852,34887,35063,35121,37252,41743,42027,42036,42097,44573,45408
neural 4 1 7871
neurolog 1 1 942
neuropathi 3 1 812
neurosci 4 1 39340
neurotic 4 2 11739,11782
newark 4 6 38144,38155,38166,38179,38224,38331
newborn 4 3 3699,5980,20019
newli 4 5 38463,38504,38515,38655,38668
newport 4 7 43943,44044,44072,44108,44133,44137,44180
news 4 1 11200
ng 1 1 605
ngo 4 1 42380
ngos 4 2 727,34083
nguku 4 1 42755
nheerl 4 1 24498
nhii 4 1 28171
nhis 4 2 32158,32265
nica 4 1 25555
nicol 4 1 13946
nicola 4 3 29137,34493,48653
nida 4 11 39982,43413,43479,43508,43526,43541,43546,43583,43589,43621,43635
nigeria 4 5 39071,40132,47915,47926,47977
night 4 1 47277
nih 4 1 43745
nina 4 1 10552
nirajan 4 1 23448
nisenbaum 4 1 12447
nitrat 3 1 1355
nj 4 1 41611
nmr 4 5 49080,49142,49187,49201,49272
nnabuchi 4 1 47637
noncommunic 4 1 34175
nondiabet 3 2 2231,2275
nonetheless 4 1 18017
nonfat 3 1 1512
nonprofit 4 1 31892
nonselect 3 1 2537
nonsignific 4 1 10740
noori 4 1 27879
nora 4 1 43702
norella 4 1 21173
nori 4 1 20694
norm 4 6 14524,20000,32776,38020,44192,46487
norma 4 1 2725
normal 1 4 607,633,676,839
norman 4 1 43975
normat 4 1 32787
north 1 1 1122
north 4 3 35502,39372,43730
northwest 4 2 7350,7353
notabl 4 1 12057
notch 4 1 6481
note 3 2 565,2358
notic 4 1 30723
notion 3 1 78
nov 4 1 40214
novemb 4 2 11507,12998
npu 4 2 33919,33950
nsn 4 3 22092,22119,22138
nsp 4 6 22066,22086,22115,22135,22150,22164
ntp 4 2 21250,21309
nuclear 4 2 2268,2371
nucleus 4 1 31603
nueva 4 4 4821,4842,4849,5123
nuhdss 4 3 32957,33072,33087
nullipar 4 1 48089
number 3 5 1247,1553,1564,1573,2223
